file_name,SGPA,CGPA
1613613511_1800265903.html,6.44,7.41
1902051035_1800265219.html,7.23,7.23
1902051035_1800265275.html,6.19,6.71
1902051035_1800265532.html,7.60,7.21
1902051035_1800265551.html,6.81,7.02
1902051035_1800265775.html,5.93,6.88
1902051035_1800265905.html,7.20,7.06
20010101001_1800265267.html,2.79,4.92
20010101001_1800265331.html,3.08,5.61
20010101001_1800265469.html,2.13,4.81
20010101001_1800265499.html,4.69,6.18
20010101001_1800265500.html,3.29,5.47
20010101001_1800265788.html,4.69,6.18
20010101001_1800265789.html,3.29,5.47
20010101001_1800265790.html,3.88,5.16
20010101001_1800265814.html,3.22,4.81
20010101001_1800265930.html,6.12,6.68
20010101001_1800265931.html,3.96,6.01
20010101001_1800265932.html,4.38,5.69
20010101001_1800265933.html,4.67,5.50
20010101001_1800265934.html,5.04,5.44
20010101002_1800265267.html,3.71,6.23
20010101002_1800265469.html,4.67,6.48
20010101002_1800265499.html,6.54,7.27
20010101002_1800265500.html,5.88,6.93
20010101002_1800265814.html,4.19,6.07
20010101002_1800265932.html,5.17,6.58
20010101002_1800265933.html,5.74,6.43
20010101002_1800265934.html,4.52,6.17
20010101003_1800265267.html,8.13,8.77
20010101003_1800265469.html,8.17,8.65
20010101003_1800265814.html,8.41,8.60
20010101003_1800265934.html,8.91,8.65
20010101004_1800265267.html,7.67,8.57
20010101004_1800265469.html,7.33,8.33
20010101004_1800265814.html,7.93,8.26
20010101004_1800265934.html,8.57,8.30
20010101005_1800265267.html,4.92,6.67
20010101005_1800265331.html,6.62,7.24
20010101005_1800265469.html,6.00,6.84
20010101005_1800265814.html,5.22,6.54
20010101005_1800265933.html,5.22,6.54
20010101005_1800265934.html,7.17,6.63
20010101007_1800265267.html,5.67,7.30
20010101007_1800265331.html,7.04,7.82
20010101007_1800265469.html,6.42,7.27
20010101007_1800265814.html,6.81,7.19
20010101007_1800265934.html,7.57,7.24
20010101008_1800265267.html,8.13,8.64
20010101008_1800265469.html,8.13,8.54
20010101008_1800265814.html,8.44,8.52
20010101008_1800265934.html,8.22,8.48
20010101009_1800265267.html,5.54,6.88
20010101009_1800265331.html,7.12,7.31
20010101009_1800265469.html,4.29,6.52
20010101009_1800265790.html,5.96,6.84
20010101009_1800265814.html,5.96,6.68
20010101009_1800265934.html,5.13,6.48
20010101010_1800265267.html,8.00,8.65
20010101010_1800265469.html,8.04,8.53
20010101010_1800265814.html,8.67,8.56
20010101010_1800265934.html,8.65,8.57
20010101011_1800265267.html,6.75,7.78
20010101011_1800265469.html,6.96,7.67
20010101011_1800265814.html,7.63,7.66
20010101011_1800265934.html,7.96,7.70
20010101012_1800265267.html,7.00,7.93
20010101012_1800265331.html,8.08,8.23
20010101012_1800265469.html,7.33,7.81
20010101012_1800265814.html,7.59,7.77
20010101012_1800265934.html,7.87,7.78
20010101013_1800265267.html,5.50,6.81
20010101013_1800265469.html,4.67,6.39
20010101013_1800265790.html,5.83,6.61
20010101013_1800265814.html,6.37,6.57
20010101013_1800265934.html,5.74,6.46
20010101014_1800265267.html,5.71,7.04
20010101014_1800265331.html,7.31,7.47
20010101014_1800265469.html,6.04,7.04
20010101014_1800265500.html,6.71,7.29
20010101014_1800265814.html,6.74,6.99
20010101014_1800265934.html,6.26,6.89
20010101015_1800265267.html,6.79,7.64
20010101015_1800265469.html,7.46,7.61
20010101015_1800265814.html,7.44,7.58
20010101015_1800265934.html,6.57,7.44
20010101016_1800265267.html,7.33,8.02
20010101016_1800265469.html,7.58,7.88
20010101016_1800265814.html,7.96,7.89
20010101016_1800265934.html,6.91,7.76
20010101018_1800265267.html,4.79,6.06
20010101018_1800265331.html,4.31,6.47
20010101018_1800265469.html,6.67,6.61
20010101018_1800265499.html,6.31,7.18
20010101018_1800265789.html,4.79,6.59
20010101018_1800265814.html,7.15,6.70
20010101018_1800265930.html,7.38,7.55
20010101018_1800265931.html,5.46,7.04
20010101018_1800265934.html,7.52,7.07
20010101019_1800265267.html,3.04,6.18
20010101019_1800265331.html,6.04,7.20
20010101019_1800265469.html,6.58,7.20
20010101019_1800265499.html,7.12,7.58
20010101019_1800265500.html,6.63,7.35
20010101019_1800265814.html,7.56,7.26
20010101019_1800265934.html,6.61,7.17
20010101020_1800265267.html,6.17,7.22
20010101020_1800265331.html,7.15,7.57
20010101020_1800265469.html,6.50,7.08
20010101020_1800265814.html,7.11,7.09
20010101020_1800265934.html,7.83,7.19
20010101021_1800265267.html,3.50,5.38
20010101021_1800265331.html,2.88,5.99
20010101021_1800265469.html,2.54,5.15
20010101021_1800265499.html,3.81,6.31
20010101021_1800265500.html,4.17,5.79
20010101021_1800265788.html,4.50,6.55
20010101021_1800265789.html,4.83,6.13
20010101021_1800265814.html,5.59,5.74
20010101021_1800265930.html,5.19,6.80
20010101021_1800265931.html,4.83,6.32
20010101021_1800265932.html,4.29,5.92
20010101021_1800265934.html,5.96,5.87
20010101022_1800265267.html,3.67,5.89
20010101022_1800265331.html,4.92,6.61
20010101022_1800265469.html,3.50,6.04
20010101022_1800265499.html,5.85,6.93
20010101022_1800265500.html,5.83,6.66
20010101022_1800265790.html,5.42,6.42
20010101022_1800265814.html,4.48,6.07
20010101022_1800265933.html,5.07,6.17
20010101022_1800265934.html,6.61,6.23
20010101023_1800265267.html,3.29,5.22
20010101023_1800265331.html,2.65,5.85
20010101023_1800265469.html,0.96,4.83
20010101023_1800265499.html,3.35,6.09
20010101023_1800265500.html,4.79,5.78
20010101023_1800265788.html,3.96,6.31
20010101023_1800265789.html,4.79,5.94
20010101023_1800265790.html,2.13,5.19
20010101023_1800265814.html,1.85,4.58
20010101023_1800265930.html,3.96,6.31
20010101023_1800265932.html,2.63,5.29
